ID_BUYER,Composite_Score
16687639,0.9998683878366241
10600848,0.8490635141884766
335137,0.8471004787251846
8284368,0.8469195710520837
9193752,0.8404239756116565
1395440,0.8385946959282085
8101105,0.8328214497243824
2902113,0.8324126425808549
15497171,0.8313413039349967
15284711,0.82928943453068
5818620,0.8285276553594731
15042553,0.8278044343337699
9255565,0.8264177940430071
17176152,0.8255166518249405
17351618,0.8253115160642758
3545140,0.825110000114134
15782933,0.8250708549605472
4804870,0.8235396948358952
2941202,0.8234452923902205
3753396,0.8227972938323462
15107264,0.8214474014443354
2372583,0.8210244569902011
9999488,0.8201089906992546
17123468,0.8198336882102574
14222051,0.8195273906828456
15345909,0.8193240781199771
2021894,0.8189721136917871
11780669,0.8182733762115845
17254649,0.8176585154249297
12885107,0.8173478911786516
1793284,0.8170347628557207
8271847,0.8168647112419415
4242578,0.816688913727295
1779086,0.8165490265648961
16993440,0.8165120594801879
2137090,0.8165049262418193
4380815,0.8164443791797303
13452295,0.816027436964305
14638168,0.8159261639957294
1885116,0.8157591915808368
4946262,0.8154891427292276
17814015,0.8153834455581536
16948707,0.8153119204982858
17368061,0.8151590086415778
15468274,0.8150164361129274
18290070,0.8149364495499437
9297396,0.8149307669369907
16525824,0.8146992206520519
7839949,0.8145788882876412
14711126,0.8145360539215447
5594414,0.814318751427444
6923981,0.8142091488733947
4772288,0.8142071123253991
2910518,0.8141977161619113
18085320,0.8139073337492926
14753893,0.8139038943675605
16571904,0.8138118389556039
10452469,0.8137092411432971
17885771,0.8133486172385133
15568486,0.8132924263655974
7630316,0.8132534475665905
12179016,0.8130854769038235
17178285,0.8129825174726167
16135650,0.8128937644369381
17652623,0.8128631433470574
17540499,0.8128601996142266
4437549,0.8128443629071564
6362627,0.8127549897329619
17835518,0.8126763238671317
13019757,0.8126014970362384
15588609,0.8125324837216502
11472731,0.812526864216081
17148339,0.8123872236745726
16132174,0.8123606375918093
15587003,0.8122001332235745
905552,0.8121939551592278
